,Posts,Channel,Views_03/03,Views_03/12,view_delta
62,"Mukur Weldegebriel - Nite'amamen (ንተዓማመን) New Ethiopian Tigirigna Music Video 2015 by DireTube Music 6 years ago 5 minutes, 55 seconds 12,294 views",DireTube Music,"12,294","12,305",11
63,"Hirut Teklehaimanot - Wilo Kalgayika (ዊሎ ካልጋዓይካ) New Ethiopian Somali Music Video 2015 by DireTube Music 6 years ago 4 minutes, 40 seconds 109,578 views",DireTube Music,"109,578","109,748",170
64,"Sami Ahmed /Sam/ - Beand Eyita (ባንድ እይታ) Ethiopian Music Video 2015 by DireTube Music 6 years ago 4 minutes, 8 seconds 2,082 views",DireTube Music,"2,082","2,086",4
65,"Khalid - Day Dream - New Ethiopian Music Video 2015 by DireTube Music 6 years ago 3 minutes, 46 seconds 2,166 views",DireTube Music,"2,166","2,166",0
66,"Deme Lula - Aderbane (አዴርባኔ) New Ethiopian Music Video 2015 by DireTube Music 6 years ago 4 minutes, 48 seconds 28,215 views",DireTube Music,"28,215","28,242",27
67,"Neba Yo /Fano Boy/ Andnet (አንድነት) New Ethiopian Music Video 2015 by DireTube Music 6 years ago 2 minutes, 10 seconds 1,971 views",DireTube Music,"1,971","1,971",0
68,"Thomas Mekonnen - Wezamey (ወዛመይ) New Ethiopian Tigrigna Music Video 2015 by DireTube Music 6 years ago 6 minutes, 28 seconds 41,562 views",DireTube Music,"41,562","41,597",35
69,"Thomas Mekonnen - Segen (ሰገን) New Ethiopian Tigrigna Music Video 2015 by DireTube Music 6 years ago 6 minutes, 37 seconds 30,071 views",DireTube Music,"30,071","30,087",16
70,"Berhanu Tekka - Eski Felguat (እስኪ ፈልጓት) New Ethiopian Music Clip 2015 by DireTube Music 6 years ago 5 minutes, 52 seconds 213,190 views",DireTube Music,"213,190","213,812",622
71,"Dani Sema - Welafenu (ወላፈኑ) New Ethiopian Music Video 2015 by DireTube Music 6 years ago 3 minutes, 45 seconds 6,724 views",DireTube Music,"6,724","6,768",44
72,"Sami Yaynu - Dire (ድሬ) New Ethiopian Music Video 2015 by DireTube Music 6 years ago 6 minutes 13,672 views",DireTube Music,"13,672","13,694",22
73,"Tarekegn Mulu - Bebaytewar Gojo (በባይተዋር ጎጆ) New Ethiopian Music Video 2015 by DireTube Music 6 years ago 6 minutes, 1 second 9,598,641 views",DireTube Music,"9,598,641","9,618,945",20304
74,"Neba Yo - Live with Dj Naol - Ethiopian Music by DireTube Music 6 years ago 24 minutes 3,160 views",DireTube Music,"3,160","3,162",2
75,"Tariku Gashaw - Yezina (የዝና) New Ethiopian Music Video 2015 /Remix/ by DireTube Music 6 years ago 6 minutes, 8 seconds 31,937 views",DireTube Music,"31,937","31,964",27
76,"Simon G/medhin - Gonder Tertognal (ጎንደር ጠርቶኛል) New Ethiopian Traditional Music Video 2015 by DireTube Music 6 years ago 5 minutes, 49 seconds 8,158 views",DireTube Music,"8,158","8,164",6
77,"Tigist Kasahun - Alaznem (አላዝንም) New Ethiopian Music Video 2015 by DireTube Music 6 years ago 4 minutes, 6 seconds 8,219 views",DireTube Music,"8,219","8,219",0
78,"Michael Amde - Atagay (አታጋይ) New Ethiopian Welayta Music Video 2015 by DireTube Music 6 years ago 4 minutes, 39 seconds 8,552 views",DireTube Music,"8,552","8,556",4
79,"Yonas Mussa -Yane Yenegerkush - New Ethiopian Music 2015 by DireTube Music 6 years ago 9 minutes, 52 seconds 3,609 views",DireTube Music,"3,609","3,618",9
80,"Yonas Mussa - Kelela Ekif Hogne - New Ethiopian Music 2015 by DireTube Music 6 years ago 5 minutes, 8 seconds 2,347 views",DireTube Music,"2,347","2,350",3
81,"Wubshet Girma - Saba Saba (ሳባ ሳባ) New Ethiopian Music Video 2015 by DireTube Music 6 years ago 6 minutes, 35 seconds 11,340 views",DireTube Music,"11,340","11,349",9
82,"Yonas Mussa - Ende Gudu Kasa (እንደ ጉዱ ካሳ) New Ethiopian Music 2015 by DireTube Music 6 years ago 6 minutes, 20 seconds 3,182 views",DireTube Music,"3,182","3,183",1
83,"Tadele Getachew - Endegena (እንደገና) New Ethiopian Music Video 2015 by DireTube Music 6 years ago 4 minutes, 20 seconds 30,811 views",DireTube Music,"30,811","30,823",12
84,"Neba Yo /Fano Boy/ - Merara (መራራ) - Ethiopian Rap by DireTube Music 6 years ago 3 minutes 2,259 views",DireTube Music,"2,259","2,263",4
85,"Nibret Gebreab - Kolbo (ኮልቦ) New Ethiopian Sidama Music Video 2015 by DireTube Music 6 years ago 4 minutes, 27 seconds 53,264 views",DireTube Music,"53,264","53,544",280
86,"Mike Gondergna Habeshawit (ሐበሻዊት) New Best Ethiopian music clip 2015 by DireTube Music 6 years ago 5 minutes, 13 seconds 21,849 views",DireTube Music,"21,849","21,877",28
87,"Werk Getnet - Yemalizew Beje (የማልይዘው በጄ) New Ethiopian Music Video 2015 by DireTube Music 6 years ago 4 minutes, 15 seconds 51,021 views",DireTube Music,"51,021","51,034",13
88,"Tewedaj Yeneneh - Run Away - Ethiopian Music Video 2015 by DireTube Music 6 years ago 3 minutes, 44 seconds 1,163 views",DireTube Music,"1,163","1,166",3
89,"Suraj Ahmed - Osut Halabira (ኦሱት ሀላቢራ) Ethiopian Music Video 2015 by DireTube Music 6 years ago 3 minutes, 56 seconds 2,797 views",DireTube Music,"2,797","2,807",10
90,"Afework Gebremedhin /Besho/ - Gudumale (ጉዱማሌ) Ethiopian Music Video 2015 by DireTube Music 6 years ago 5 minutes 4,861 views",DireTube Music,"4,861","4,877",16
91,"Ras Malula Balcha - Reggae Muzikaye (ሬጌ ሙዚቃዬ) Ethiopian Reggae Music Video 2015 by DireTube Music 6 years ago 3 minutes, 49 seconds 2,968 views",DireTube Music,"2,968","2,970",2
92,"Tare ft. Negea - Haremo (ሀሬሞ) Ethiopian Music Video 2015 by DireTube Music 6 years ago 3 minutes, 52 seconds 2,585 views",DireTube Music,"2,585","2,587",2
93,"Gebrehiwot Gebru (Gere Afro) - Shikorina (ሽኮሪና) New Ethiopian Tigrigna Music Video 2015 by DireTube Music 6 years ago 5 minutes, 15 seconds 8,939 views",DireTube Music,"8,939","8,943",4
