,Posts,Channel,Views_03/03,Views_03/12,view_delta
111,"Sofia Atsbeha ''ASHENDA ABEBA'' (ኣሽንዳ ኣበባ) New Tigrigna Ashenda Music 2019(Official Video) by Awash Entertainment 2 years ago 6 minutes, 4 seconds 109,004 views",Awash Entertainment,109004,109045,41
112,"NARDOS ASAY ''AWALD TIGRAY'' (ኣዋልድ ትግራይ) New Tigrigna Ashenda Music 2019(Official Video) by Awash Entertainment 2 years ago 7 minutes, 53 seconds 709,123 views",Awash Entertainment,709123,710369,1246
113,"SAMUEL KIROS  ''SELASIWAY'' (ስላስዋይ) New Ethiopian Tigrigna Music 2019(Official Video) by Awash Entertainment 2 years ago 6 minutes, 38 seconds 396,964 views",Awash Entertainment,396964,399757,2793
114,"HAGOS HAYLAY ''WELIDATOM'' (ወሊዳቶም) New Ethiopian Tigrigna Music 2019(Official Video) by Awash Entertainment 2 years ago 6 minutes, 34 seconds 64,559 views",Awash Entertainment,64559,64572,13
115,"Kibrom Birhane - Ari (ዓሪ) Festival diaspora Tegaru 2019 Mekelle by Awash Entertainment 2 years ago 10 minutes, 40 seconds 4,201 views",Awash Entertainment,4201,4204,3
116,"Rahel Fiyorina - Fetweka | ፈትወካFestival diaspora Tegaru 2019  Mekelle by Awash Entertainment 2 years ago 5 minutes, 7 seconds 3,665 views",Awash Entertainment,3665,3667,2
117,"Eyerus Gebrezgi-bahlawi (ባህላዊ) music (2019) by Awash Entertainment 2 years ago 10 minutes, 4 seconds 185,540 views",Awash Entertainment,185540,185748,208
118,"TOMAS NUGUSE ''WEYN'' (ወይን) New Ethiopian Erob Music 2019(Official Video) by Awash Entertainment 2 years ago 4 minutes, 44 seconds 18,483 views",Awash Entertainment,18483,18509,26
119,"Selemon Gidena ''KELEMYE (ቀለምየ) New Ethiopian Tigrigna Music 2019(Official Video) by Awash Entertainment 2 years ago 5 minutes, 10 seconds 10,487 views",Awash Entertainment,10487,10492,5
120,"Atsede Kasa Ta''GAL ADEY AMLESU'' by Awash Entertainment 2 years ago 2 minutes, 37 seconds 5,928 views",Awash Entertainment,5928,5973,45
121,"""እቲ ንትግራይ መሰረት ገይሩ ክኸይድ ዝነበሮ ብሄራዊ ቃልሲ በቲ መሪሕነት ደው ኢሉ ስለዝተረፈ ንዕኡ ንምቅጻልን ንምምላስን ኢና ተላዒልና።"" by Awash Entertainment 2 years ago 19 minutes 4,008 views",Awash Entertainment,4008,4009,1
122,"Adey G/micheal ''GOBEZ ADI (ጎበዝ ዓዲ) New Ethiopian Tigrigna Music 2019(Official Video) by Awash Entertainment 2 years ago 5 minutes, 26 seconds 61,537 views",Awash Entertainment,61537,61637,100
123,"NIGUSS GIDEY (70 እንደርታ) New Ethiopian Tigrigna Music 2019(Official Video) by Awash Entertainment 2 years ago 5 minutes, 33 seconds 59,563 views",Awash Entertainment,59563,60005,442
124,"Teklay Eqbu (ነብሮም) New Ethiopian Tigrigna Music 2019 (Official Video) by Awash Entertainment 2 years ago 6 minutes, 41 seconds 63,557 views",Awash Entertainment,63557,63576,19
125,"'' ትግራይ ተዛረቢ ኣይተብዝሒ ሱቅታ'' by Awash Entertainment 2 years ago 10 minutes, 49 seconds 12,633 views",Awash Entertainment,12633,12635,2
126,"Tigrigna poem by Awot Wedaje SEB KALKIDAN(ሰብ ቃል-ኪዳን) ብጋዜጠኛ ዓወት ወዳጅ by Awash Entertainment 2 years ago 11 minutes, 19 seconds 56,812 views",Awash Entertainment,56812,56949,137
127,"Girmay Gebrehiwet -Tigray Adey (ትግራይ ዓደይ)New Ethiopian Tigrigna Music 2019 (Official Video) by Awash Entertainment 2 years ago 5 minutes, 55 seconds 36,552 views",Awash Entertainment,36552,36559,7
128,"Yonas Mokonen -swnwano (ስውንዋኖ)New Ethiopian Tigrigna Music 2019 (Official Video) by Awash Entertainment 2 years ago 5 minutes, 5 seconds 32,620 views",Awash Entertainment,32620,32636,16
129,"Solomon Bayre/Girmay /Asfaw/Timtu /Tedros /Rahwa(ሓደራ) New Tigrigna Music 2019(Official Video) by Awash Entertainment 2 years ago 7 minutes, 3 seconds 102,259 views",Awash Entertainment,102259,102268,9
130,"Tewelde Teklay Tigray (ትግራይ)New Ethiopian Tigrigna Music 2019 (Oqfficial Video) by Awash Entertainment 2 years ago 5 minutes, 54 seconds 9,248 views",Awash Entertainment,9248,9249,1
