,Posts,Channel,Views_03/03,Views_03/12,view_delta
84,"Nelson Mandela Guramayle Documentary Trailer 2016 by Evangadi Production 5 years ago 1 minute, 8 seconds 1,635 views",Evangadi Production,1635,1637,2
85,"የፀሃይ መውጫ ልጆች    Sons of Sunrise   New Amharic Movie Trailer by Evangadi Production 5 years ago 1 minute, 11 seconds 1,155 views",Evangadi Production,1155,1157,2
86,"Elsabet Teshome Be Birr Aygezam Ethiopian Music 2016 (Official Audio) by Evangadi Production 5 years ago 4 minutes, 46 seconds 42,625 views",Evangadi Production,42625,42987,362
87,"Elsabet Teshome Sentune Ayew Bante Ethiopian Music 2016 (Official Audio) by Evangadi Production 5 years ago 4 minutes, 46 seconds 38,577 views",Evangadi Production,38577,38899,322
88,"Elsabet Teshome Addis Fiker New Ethiopian Music 2016 (Official Audio) by Evangadi Production 5 years ago 3 minutes, 52 seconds 62,662 views",Evangadi Production,62662,63141,479
89,"Elsabet Teshome Ayasayene Cenkune New Ethiopian Music 2016 (Official Audio) by Evangadi Production 5 years ago 5 minutes, 40 seconds 25,400 views",Evangadi Production,25400,25600,200
90,"Elsabet Teshome Besensel Lekebeb New Ethiopian Music 2016 (Official Audio) by Evangadi Production 5 years ago 6 minutes, 10 seconds 73,287 views",Evangadi Production,73287,73675,388
91,"Elsabet Teshome Semhen Salanesa New Ethiopian Music 2016 (Official Audio) by Evangadi Production 5 years ago 5 minutes, 21 seconds 30,324 views",Evangadi Production,30324,30506,182
92,"Elsabet Teshome Satemote Endate Lalekes New Ethiopian Music 2016 (Official Audio) by Evangadi Production 5 years ago 4 minutes, 56 seconds 36,776 views",Evangadi Production,36776,36961,185
93,"Elsabet Teshome Ayewetanem Kefu Negere New Ethiopian Music 2016 (Official Audio) by Evangadi Production 5 years ago 4 minutes, 58 seconds 43,931 views",Evangadi Production,43931,44202,271
94,"Elsabet Teshome Yecenkenal New Ethiopian Music 2016 (Official Audio) by Evangadi Production 5 years ago 4 minutes, 46 seconds 68,030 views",Evangadi Production,68030,68323,293
95,"Elsabet Teshome Kal Menotan Man Yawekal New Ethiopian Music 2016 (Official Audio) by Evangadi Production 5 years ago 4 minutes, 42 seconds 38,654 views",Evangadi Production,38654,38921,267
96,"Elsabet Teshome Kal Kedan Teresto New Ethiopian Music 2016 (Official Audio) by Evangadi Production 5 years ago 4 minutes, 53 seconds 86,874 views",Evangadi Production,86874,87225,351
97,"Elsabet Teshome Men Bedelkut Menew New Ethiopian Music 2016 (Official Audio) by Evangadi Production 5 years ago 5 minutes, 29 seconds 53,654 views",Evangadi Production,53654,53901,247
98,"Elsabet Teshome Men Neber New Ethiopian Music 2016 (Official Audio) by Evangadi Production 5 years ago 3 minutes, 39 seconds 49,500 views",Evangadi Production,49500,49748,248
